solution_id,question_hash,difficulty,answer_text,model_name,generated_at
11,65aeacb3f6407ba6168d3619e4d3c9885bb1e010c64416065e32c2343e16b3f4,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Bayesian Inference: Bayes' theorem updates prior beliefs given evidence: P(theta|data) = P(data|theta) * P(theta) / P(data). The posterior combines the likelihood of observed data with prior knowledge about parameters.",gpt-4o,2026-01-05 06:37:36+05:30
12,de8d50b5fb406a62d17f98a703623851bae38de510a2871983813b4c60699d10,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Matrix Decomposition: QR decomposition expresses A as the product of an orthogonal matrix Q and upper triangular R. It is numerically stable and forms the basis of the QR algorithm for computing eigenvalues.",gpt-4o-mini,2026-02-25 10:09:43+05:30
13,6ffd36670b06f57bae16880ae70fb1a9d8c742735fa5e526d6642bd8c3a192a9,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Hypothesis Testing: Type I error (false positive) occurs when H0 is true but rejected. Type II error (false negative) occurs when H0 is false but not rejected. The significance level alpha controls Type I error rate.",gpt-4o-mini,2026-04-26 17:03:25+05:30
14,33edca20ee0b46c590a62a0d65e2dfb92e76c4eea1ea38157cd91ab761767b89,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Transaction Isolation: Phantom reads occur when a transaction re-executes a range query and finds new rows inserted by another committed transaction. Repeatable Read prevents this in some implementations using gap locks.",claude-3-haiku,2026-04-19 02:09:31+05:30
15,d1614b9022fa36dbb37da48615f5aa4111e4bc792982381ca5693eb588abe127,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Eigenvalues: The spectral theorem states that every real symmetric matrix is orthogonally diagonalizable: A = Q*Lambda*Q^T where Q contains orthonormal eigenvectors and Lambda is diagonal with eigenvalues.",gpt-4o,2026-01-02 22:40:46+05:30
16,7a7ab25430499794df1f3eb77e2aecd8bb08e0b5bf879beedff13ed4752bad1f,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Query Optimization: Join ordering is critical: for N tables, there are N! possible orderings. The optimizer uses heuristics and dynamic programming to find a near-optimal order that minimizes intermediate result sizes.",gpt-4o,2025-11-09 23:04:27+05:30
17,8be6fac0e4c9ac9ecf2bd62a16f711ef6eca72fd17fd330862ccf97ff3dbfbd7,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Memory Management: Segmentation divides memory into variable-sized segments reflecting logical program structure (code, data, stack). Unlike paging, it preserves the programmer's view of memory but suffers from external fragmentation.",claude-3-haiku,2026-02-03 10:24:33+05:30
18,86f445c01e16c5f2ee183f938be7352fb1b88653b696a793799fa7fe9b071615,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Dynamic Programming: The longest common subsequence (LCS) problem has a classic DP solution using a 2D table where entry (i,j) stores the LCS length of the first i characters of string X and first j characters of string Y.",gpt-4o,2026-02-20 11:54:44+05:30
19,705835a5ea9c5a3fb66df31e9bda43f248f4bd0d02336cfe834fec2387d9c712,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Conservation of Energy: Non-conservative forces like friction convert mechanical energy to thermal energy. The work done by friction equals the decrease in mechanical energy: W_friction = Delta(KE) + Delta(PE).",gpt-4o-mini,2025-11-14 14:45:36+05:30
20,06004edc4548972c418789a48553e6a9c9047b912bb8dae4b19a1bc3b5014995,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Electromagnetic Waves: An electromagnetic wave consists of oscillating electric and magnetic fields perpendicular to each other and to the direction of propagation. The fields are in phase and satisfy E/B = c.",gpt-4o-mini,2025-11-29 22:14:40+05:30
21,f6415d10fd499f427a065bea5a3efbc3c1593a8adf9e1e80577ef3ae725f8471,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Dynamic Programming: The two implementation approaches are top-down (memoization with recursion) and bottom-up (tabulation with iteration). Bottom-up avoids recursion overhead but requires understanding the dependency order of subproblems.",gpt-4o-mini,2026-02-02 08:22:01+05:30
22,5517399b906e285598a702e9caca398b1791acf7ba61afcce8f3f1cf7cfaec74,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Vector Spaces: A linear transformation T: V → W preserves addition and scalar multiplication. Its kernel (null space) and image (range) are subspaces, connected by the rank-nullity theorem: dim(ker T) + dim(im T) = dim(V).",claude-3-haiku,2026-02-06 02:29:36+05:30
23,63a5dc4f52c67513bcb02618f6672df6e2eec3a4b90ef7ba9cb1d845683a704c,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Sorting Algorithms: The lower bound for comparison-based sorting is Omega(n log n), proven by the decision tree model. This means no comparison sort can do better than n log n comparisons in the worst case.",gpt-4o,2026-03-13 15:06:32+05:30
24,bb57d4466bcfe4d4d77a9ab58058cfcfc9e7ee6e9809d854b38472a958976e76,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Binary Search Trees: A binary search tree (BST) is a rooted binary tree where each node stores a key greater than all keys in its left subtree and less than those in its right subtree. This ordering property enables O(log n) average-case search, insertion, and deletion operations.",gpt-4o-mini,2026-04-06 21:34:18+05:30
25,33edca20ee0b46c590a62a0d65e2dfb92e76c4eea1ea38157cd91ab761767b89,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Transaction Isolation: Serializable isolation is the strongest level, ensuring that concurrent transaction execution produces results equivalent to some serial ordering. It prevents all anomalies but may reduce throughput due to locking or aborts.",gpt-4o,2026-02-12 20:23:34+05:30
26,b4b3e1a2ce352707ebdc2898f96d5c9c6387f36be1013f0a897a43f574c75073,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Vector Spaces: A linear transformation T: V → W preserves addition and scalar multiplication. Its kernel (null space) and image (range) are subspaces, connected by the rank-nullity theorem: dim(ker T) + dim(im T) = dim(V).",gpt-4o,2025-12-25 03:26:01+05:30
27,e5a97461fa61f826a4b87586ebf8ea94361894808e894d3c45ca86d727c3154e,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Sorting Algorithms: Counting sort is a non-comparison-based algorithm that counts occurrences of each value, achieving O(n + k) time where k is the range of input values. It is stable and efficient when k is not significantly larger than n.",gpt-4o-mini,2026-01-26 18:03:07+05:30
28,a6c7435e0387c105b8d4a2c80951606f5c55f4a60d40490733ae64e8baa712b6,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Indexing Strategies: Covering indexes include all columns needed by a query, enabling index-only scans that avoid heap lookups entirely. This trades storage space for significant read performance improvement.",gpt-4o,2026-01-21 15:02:41+05:30
29,21f4a509d850465d81cb98f4a4f96ec7a5708ee505be09f7e75fd4c7a2d46894,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of SQL Joins: A cross join produces the Cartesian product of two tables — every row from the first table paired with every row from the second. It is rarely used intentionally but useful for generating combinations.",gpt-4o-mini,2026-04-25 06:06:26+05:30
30,d957b136aac2ebc508f85bc56e28c18c5f08c1e532a4467e8c3fa86124d05b10,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Rotational Dynamics: Newton's second law for rotation: tau_net = I * alpha, where tau is torque, I is moment of inertia, and alpha is angular acceleration. This governs how angular velocity changes under applied torques.",gpt-4o-mini,2025-11-07 13:15:42+05:30
31,dd46f975e107e8f19aa4c5d8f06bd3170ecc5f399fe79f798246dbf1692c8514,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Process Scheduling: Multilevel feedback queues use multiple priority levels with different scheduling policies. Processes move between queues based on behavior: CPU-bound processes sink to lower priorities while I/O-bound processes rise.",gpt-4o,2026-01-06 00:21:20+05:30
32,2547e099d93239f6b4c0c248e9981f130fb64bc8452a62f57044153309b01ed8,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Database Normalization: First normal form (1NF) requires that all column values are atomic (indivisible) and that each row is uniquely identifiable. Repeating groups and multi-valued attributes must be decomposed into separate rows or tables.",claude-3-haiku,2025-12-27 11:18:13+05:30
33,8ce474d8baf9847b1cf695d451ed3eae2ca79c59f41b8f81ad177797f355e722,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Memory Management: Segmentation divides memory into variable-sized segments reflecting logical program structure (code, data, stack). Unlike paging, it preserves the programmer's view of memory but suffers from external fragmentation.",claude-3-haiku,2026-04-25 15:55:22+05:30
34,180d3807bd2f840e5570311032f403c09037db4ff67945982020c68e70455a9e,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Linear Regression: Linear regression models the relationship between a dependent variable y and independent variables X as y = X*beta + epsilon, where beta is estimated by minimizing the sum of squared residuals.",gpt-4o,2026-04-17 15:03:48+05:30
35,b18b60b86bb768915e6101dd50f690014c5b2508bc3ea1d96adf048729b6fd7b,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Newton's Laws: Newton's third law states that forces come in equal and opposite action-reaction pairs acting on different bodies. This is fundamental to deriving conservation of momentum in isolated systems.",gpt-4o-mini,2025-10-31 21:09:16+05:30
36,d21c2904d0aadb8b90cd21eba6f534324e040bc9f7d1c8fbf1839472d31792e5,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Confidence Intervals: Bootstrap confidence intervals resample with replacement from the observed data to empirically approximate the sampling distribution, avoiding parametric assumptions about the underlying population.",claude-3-haiku,2026-03-07 18:58:50+05:30
37,efe65b2970e001592df1e76341e2e21d378875d3ed0085de4a91368ba3f7eab0,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Neural Networks: Backpropagation computes gradients of the loss function with respect to each weight by applying the chain rule layer by layer from output to input. These gradients drive the weight updates during training.",claude-3-haiku,2026-03-11 23:17:39+05:30
38,7e6d12a71a7980c6eb55cda9020fef9b4bac86a69201a52b9a7786f7d1bd1613,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Gauss's Law: Gauss's law relates the net electric flux through a closed surface to the enclosed charge: Phi_E = Q_enc / epsilon_0. Its power lies in exploiting symmetry to compute E for symmetric charge distributions.",claude-3-haiku,2026-01-25 19:11:40+05:30
39,40e5c95663c55b59338e7038e4ed7ab18cf60a5868c23a8cd9d5b0e46df11d1f,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Hash Tables: A hash table maps keys to values using a hash function that computes an index into an array of buckets. The average-case time complexity for lookup, insert, and delete is O(1), making hash tables essential for constant-time dictionary operations.",gpt-4o,2025-11-04 14:12:43+05:30
40,bb4a765d0f516a21e984b7ee185f019b099a922b050a7cb1e3ab2494d9e977f4,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Matrix Decomposition: QR decomposition expresses A as the product of an orthogonal matrix Q and upper triangular R. It is numerically stable and forms the basis of the QR algorithm for computing eigenvalues.",gpt-4o-mini,2025-12-29 04:14:09+05:30
41,bb4a765d0f516a21e984b7ee185f019b099a922b050a7cb1e3ab2494d9e977f4,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Matrix Decomposition: Singular Value Decomposition (SVD) factorizes any m x n matrix as A = U*Sigma*V^T where U and V are orthogonal and Sigma is diagonal with singular values. It reveals rank, null space, and optimal low-rank approximations.",gpt-4o,2025-12-05 12:41:19+05:30
42,b2d294da96f0e3bbabd5e7f5b8931fc8f1b02e5a6382e3b4fab7212438971c48,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Graph Algorithms: Breadth-first search (BFS) explores vertices level by level using a queue, guaranteeing shortest paths in unweighted graphs. Its time complexity is O(V + E) where V is vertices and E is edges.",claude-3-haiku,2026-01-10 11:52:34+05:30
43,c250335cf6616d655c29e756d640aec66985f887dac1fea6cf3b56676162f777,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Neural Networks: A feedforward neural network consists of layers of neurons where information flows from input through hidden layers to output. Each neuron computes a weighted sum of inputs, applies a nonlinear activation function, and passes the result forward.",claude-3-haiku,2026-01-04 10:57:56+05:30
44,d3d53740b67f2ffb7592309cc9faab86d6e1e8ecc8ab8763a1d6d10503e6b558,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Sorting Algorithms: The lower bound for comparison-based sorting is Omega(n log n), proven by the decision tree model. This means no comparison sort can do better than n log n comparisons in the worst case.",gpt-4o,2025-11-02 07:27:24+05:30
45,151fe8e16c101271f00b5d5eb85275baa97200498af5b4228d5389af222d2bf8,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Network Security: Public-key cryptography uses asymmetric key pairs: a public key for encryption and a private key for decryption. RSA and elliptic-curve algorithms enable secure key exchange without pre-shared secrets.",claude-3-haiku,2026-04-09 19:07:27+05:30
46,b00a96a38cfadd1a5114a59b52d275137df2066932d03841698b6f4f5f38b923,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Confidence Intervals: Bootstrap confidence intervals resample with replacement from the observed data to empirically approximate the sampling distribution, avoiding parametric assumptions about the underlying population.",gpt-4o-mini,2026-03-25 22:20:33+05:30
47,09f920d503077b0aea8af322ea657f3812993ab30e83183acd6c50bb588a0df9,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Electromagnetic Waves: Polarization describes the orientation of the electric field oscillation. Linear polarization has E oscillating in a fixed plane; circular polarization has E rotating with constant magnitude.",gpt-4o-mini,2026-03-31 07:57:43+05:30
48,a6511fa705c8d74e0d80d882834f8bef2f7b9204a797ea065fead59fe60ef58f,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Matrix Decomposition: Singular Value Decomposition (SVD) factorizes any m x n matrix as A = U*Sigma*V^T where U and V are orthogonal and Sigma is diagonal with singular values. It reveals rank, null space, and optimal low-rank approximations.",gpt-4o,2026-01-25 00:13:09+05:30
49,18e447d330972ace1dba4c245c0bea7477bd287febc7b53767e6179885e2938b,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Maxwell's Equations: Gauss's law for electricity states that the electric flux through a closed surface equals the enclosed charge divided by epsilon_0: the divergence of E equals rho/epsilon_0.",claude-3-haiku,2026-03-16 23:03:34+05:30
50,72373357bdf964912187c67a768d462680a428f2087c41e1accbb127f9c64dd4,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Graph Algorithms: A minimum spanning tree connects all vertices with minimum total edge weight. Kruskal's algorithm sorts edges and greedily adds them using a union-find structure in O(E log E) time.",gpt-4o,2025-12-01 18:14:06+05:30
51,120612cd2a4bc5328c2794e25b808461e3fdca2a9d6d2be4b2af6e971b8c66f4,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Network Security: Public-key cryptography uses asymmetric key pairs: a public key for encryption and a private key for decryption. RSA and elliptic-curve algorithms enable secure key exchange without pre-shared secrets.",gpt-4o-mini,2026-03-30 17:56:25+05:30
52,6f06fc7aa3bfddf631f92bd25c3537771b32da4d969204f9ba5af6d92d5dcb42,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Indexing Strategies: A B-tree index maintains sorted data in a balanced tree structure, supporting equality and range lookups in O(log n) time. It is the default index type in most relational databases.",gpt-4o,2026-03-31 03:56:17+05:30
53,d671dd718e94ec343a4c252f418da699aedeedb51d0595479f6b93cb854567d9,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Indexing Strategies: Hash indexes provide O(1) equality lookups but do not support range queries or ordering. They are useful for exact-match workloads like cache key lookups and equality joins.",gpt-4o-mini,2025-11-04 23:05:34+05:30
54,55fc19d43759fdc467249c5c643df7b7f1441e453eecedbcb2a10311732ad8ef,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Binary Search Trees: In-order traversal of a BST yields keys in sorted order. This property makes BSTs useful for implementing ordered dictionaries and priority queues where range queries are needed.",claude-3-haiku,2026-03-31 02:27:06+05:30
55,831c32a486828b4eccc7d62ce07c055585f2f231851f6e7eb1593bd240a7a829,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Neural Networks: Activation functions introduce nonlinearity: sigmoid maps to (0,1), tanh to (-1,1), and ReLU(x) = max(0,x). ReLU is preferred in deep networks because it mitigates the vanishing gradient problem.",gpt-4o,2025-12-02 13:41:35+05:30
56,71cb7241d7bf24882863a5c3fe9381d50c118fbfd7c86c1daf90b8b7c548f50c,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Gauss's Law: Gauss's law relates the net electric flux through a closed surface to the enclosed charge: Phi_E = Q_enc / epsilon_0. Its power lies in exploiting symmetry to compute E for symmetric charge distributions.",gpt-4o,2026-01-28 08:18:36+05:30
57,3524d4ea36ed033942628b73a5da2747e033d2fe9e15ab3cb71802aaf4320810,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Graph Algorithms: A minimum spanning tree connects all vertices with minimum total edge weight. Kruskal's algorithm sorts edges and greedily adds them using a union-find structure in O(E log E) time.",claude-3-haiku,2026-01-26 01:43:50+05:30
58,f03f308b0d282909bb18cc6d46ae0bd585530b622ac45ec8da84325406100d10,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Bayesian Inference: Bayes' theorem updates prior beliefs given evidence: P(theta|data) = P(data|theta) * P(theta) / P(data). The posterior combines the likelihood of observed data with prior knowledge about parameters.",gpt-4o,2026-01-31 20:54:44+05:30
59,b51c0d30be6dac7a27dbcc39f9c290f1f15f1462a4f6563ef280e2345049bbf5,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Eigenvalues: The spectral theorem states that every real symmetric matrix is orthogonally diagonalizable: A = Q*Lambda*Q^T where Q contains orthonormal eigenvectors and Lambda is diagonal with eigenvalues.",claude-3-haiku,2025-11-10 16:40:08+05:30
60,5d04bbb0ed666a3bf8ebabfd6ea0f483a0e91948d9d4540cdcd22785839e6806,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Process Scheduling: Priority scheduling assigns CPU to the highest-priority process. Starvation of low-priority processes is addressed through aging: gradually increasing the priority of waiting processes over time.",gpt-4o,2025-11-29 15:54:49+05:30
61,291a9bec1c4091b9d46d204a4cda5d4faec8d38b7443d09c9e11fe22148f0ded,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Query Optimization: Predicate pushdown moves filter conditions as close to the data source as possible, reducing the number of rows processed by upstream operators. This is one of the most impactful logical optimizations.",gpt-4o-mini,2025-12-22 13:38:07+05:30
62,ed9b29128bf14b39288c7812fa6b36024458d550daebe3ff0f061beb57eb396d,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Gradient Descent: Stochastic gradient descent (SGD) computes gradients on random mini-batches rather than the full dataset, trading accuracy for speed. This introduces noise that can help escape local minima.",claude-3-haiku,2025-12-03 06:31:37+05:30
63,f9a5e1c31a1dc7e2bcf4ad1ac7e475e7b4f45598e33cc57e1fc9f339b2c344bd,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Dynamic Programming: The longest common subsequence (LCS) problem has a classic DP solution using a 2D table where entry (i,j) stores the LCS length of the first i characters of string X and first j characters of string Y.",gpt-4o,2026-03-29 18:12:53+05:30
64,b4e4ead91b8decca3b78daf40b74854afa7fa8e47e8d8ea2502cb3fad4834821,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Bayesian Inference: Markov Chain Monte Carlo (MCMC) methods sample from complex posterior distributions by constructing a Markov chain whose stationary distribution is the target posterior. Metropolis-Hastings and Gibbs sampling are common variants.",gpt-4o-mini,2026-02-04 20:01:18+05:30
65,8ce474d8baf9847b1cf695d451ed3eae2ca79c59f41b8f81ad177797f355e722,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Memory Management: The translation lookaside buffer (TLB) is a hardware cache of recent page table entries. TLB hits avoid the costly memory access for page table lookup, making virtual memory practical with acceptable overhead.",claude-3-haiku,2025-12-21 00:58:43+05:30
66,72ee05f74016d303731e4856c792b9c66efa775c4671809b380dffe5ae855965,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Newton's Laws: Newton's third law states that forces come in equal and opposite action-reaction pairs acting on different bodies. This is fundamental to deriving conservation of momentum in isolated systems.",gpt-4o-mini,2025-11-18 15:24:11+05:30
67,b1661c1a9d0289fe4055352fba2f40c222e56a91ffeb8fa11a9ccbb4c10916e7,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Sorting Algorithms: Quicksort partitions the array around a pivot element and recursively sorts the partitions. Its average case is O(n log n) with O(log n) space, but worst case degrades to O(n^2) with poor pivot selection.",claude-3-haiku,2026-02-19 03:13:58+05:30
68,87617ac351e6a0961af4188c57185da3a9691e968c37ce0260d762ba5d8310c4,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Rotational Dynamics: The moment of inertia I = sum(m_i * r_i^2) measures resistance to angular acceleration, analogous to mass in linear dynamics. It depends on mass distribution relative to the rotation axis.",gpt-4o,2026-01-22 10:52:28+05:30
69,4d25e881b3cfeb7096ee241e0bedd7c78f7f371900a679d8f5c21852f831f2a3,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Graph Algorithms: Breadth-first search (BFS) explores vertices level by level using a queue, guaranteeing shortest paths in unweighted graphs. Its time complexity is O(V + E) where V is vertices and E is edges.",gpt-4o,2026-01-02 03:07:25+05:30
70,0d131bb0a8821f50d2a8634a013854676ec2e64602bb0b2a3ac4bda8abce72bf,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Hypothesis Testing: Multiple testing correction is necessary when performing many simultaneous tests. The Bonferroni correction divides alpha by the number of tests; the Benjamini-Hochberg procedure controls the false discovery rate.",claude-3-haiku,2026-02-02 18:56:17+05:30
71,9668f09d77db53de4da71d2415e865b96c7c6b7b752d7ca14c14fb86cf4f4546,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Process Scheduling: The Completely Fair Scheduler (CFS) in Linux uses a red-black tree keyed by virtual runtime to ensure each process receives a proportional share of CPU time, approximating ideal fair scheduling.",gpt-4o-mini,2026-03-14 20:26:06+05:30
72,b4f3b49252702434f85c455b70069c48994bc0586e8ec677ace51c0d64c76ff4,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Dynamic Programming: The two implementation approaches are top-down (memoization with recursion) and bottom-up (tabulation with iteration). Bottom-up avoids recursion overhead but requires understanding the dependency order of subproblems.",claude-3-haiku,2025-12-11 02:44:21+05:30
73,5aca75adc649e1cf5a75c984c8143e7088c6e381ce75b583cf33cc07726cd03a,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Sorting Algorithms: Merge sort is a divide-and-conquer algorithm that recursively splits an array in half, sorts each half, and merges the sorted halves. It guarantees O(n log n) time in all cases but requires O(n) auxiliary space.",gpt-4o,2026-03-05 03:24:50+05:30
74,af88dc68a6b56754b9c55b8ce8a7b8070eb993252c7febde3c47276c9433eff2,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Hash Tables: A hash table maps keys to values using a hash function that computes an index into an array of buckets. The average-case time complexity for lookup, insert, and delete is O(1), making hash tables essential for constant-time dictionary operations.",claude-3-haiku,2026-02-01 01:03:13+05:30
75,fec355c73fda1928a747a159e8b879c596c1644a511cc718cd8171119b10ab0b,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Hash Tables: The load factor alpha = n/m (items/buckets) determines performance. When alpha exceeds a threshold (typically 0.75), the table is resized and all entries rehashed to maintain expected constant-time operations.",gpt-4o-mini,2025-11-12 02:16:42+05:30
76,751f3daee2d42d5d34ba6d361c65f94ad26f93ef81e8f6505cf82c90599a7b00,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Bayesian Inference: Bayes' theorem updates prior beliefs given evidence: P(theta|data) = P(data|theta) * P(theta) / P(data). The posterior combines the likelihood of observed data with prior knowledge about parameters.",claude-3-haiku,2025-12-07 06:45:45+05:30
77,db578b7ca5747f2246a16e88a7f4b5350dde032c52fee6d3b0e0932c85ba20cb,foundational,"Based on the retrieved source materials, here is a foundational-level explanation of Electromagnetic Waves: The Poynting vector S = (1/mu_0) * E x B gives the power per unit area carried by an electromagnetic wave. Its time-average equals the intensity I = (1/2) * c * epsilon_0 * E_0^2.",gpt-4o-mini,2025-11-16 12:50:43+05:30
78,b278b5245ff98ec770d9fb0d698ee4a99db24a241687f3c2085a539ea0141b5e,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Maxwell's Equations: Ampere's law with Maxwell's correction states that the curl of B equals mu_0*(J + epsilon_0 * dE/dt). The displacement current term dE/dt was Maxwell's key insight predicting electromagnetic waves.",gpt-4o,2025-11-29 03:57:39+05:30
